book_name,book_author,book_author_link,book_name_link,edit_status,book_category,book_tags,book_total_words,book_count_recommends,book_total_clicks,book_summary,book_catalogue_link
穿越后从娃娃亲开始,雪菜炒肉丝,http://home.zongheng.com/show/userInfo/13408273.html,http://book.zongheng.com/book/1220922.html,连载中,都市娱乐,"生活,凡人流,美女,都市",23000,410000,3290000,卧槽，江满天穿越了，是二十世纪九十年代，他的爱情从娃娃亲开始的！,http://book.zongheng.com/showchapter/1220922.html
万年求真路,徐牧渔,http://home.zongheng.com/show/userInfo/50374840.html,http://book.zongheng.com/book/865850.html,连载中,武侠仙侠,"热血,古典仙侠,英雄无敌",333000,150000,5220000,无穷天地，万灵皆为沧海一粟，天地不改，万灵终为冢中枯骨。无尽岁月，众生无不为长生艰难求索，那条通往永恒的道路，究竟在何方？,http://book.zongheng.com/showchapter/865850.html
我是原始人,胖的不明显,http://home.zongheng.com/show/userInfo/53232952.html,http://book.zongheng.com/book/1215253.html,连载中,奇幻玄幻,"热血,穿越,重生,争霸",169000,160000,6440000,这是一个由恐龙、暴戾强大凶兽、人类、神异的异人交织共存的，凶残、蛮荒、原始的世界；这里山高海阔，千嶂万岭逶迤腾怒涛；这里天地苍茫，巨河咆哮万里触云海。一个来自现代的名叫莫辞灵魂跌入这片恢弘瑰丽的史前世界中蹒跚着生存。,http://book.zongheng.com/showchapter/1215253.html
原子的星空,繁易,http://home.zongheng.com/show/userInfo/25525362.html,http://book.zongheng.com/book/1211075.html,连载中,奇幻玄幻,"轻搞笑,温暖温馨,万丈豪情",255000,14710000,18000,我以我之汗水浇灌众生、我以我之身躯保护弱小，我以我之热血抵御强敌、我以我之生命捍卫尊严；我敬畏天地、敬畏律法，我爱护生命、乐施善举；我绝不会做不义之事、我绝不逃避困难之境；我将我的后背交给战友、我将拼死站在战友的背后！不论我的生命多么短暂、不论我的生命如何漫长，我都会穷尽一生，捍卫我的誓言。将来我死后，请不要火化、请不要入棺，就请把我埋入土中，以我之躯弥补众生，补偿未竟之憾。,http://book.zongheng.com/showchapter/1211075.html
万界剑尊,百岁千秋,http://home.zongheng.com/show/userInfo/52732043.html,http://book.zongheng.com/book/1187484.html,连载中,奇幻玄幻,"热血,玄幻,爽文",846000,12600000,76000,武脉被废，修为尽失，遭遇家族冷眼相待……被诬陷的少年陷入绝境之时，机缘巧合之下偶得剑道传承，从此剑压诸天，横踏万界，成就无上剑尊！——我有一剑，可压盖诸天！称尊万界！,http://book.zongheng.com/showchapter/1187484.html
料理世界：我为食神,小妖孽张苏兮,http://home.zongheng.com/show/userInfo/52011003.html,http://book.zongheng.com/book/1216871.html,连载中,科幻游戏,"轻小说,网游,美食,轻松",62000,0,1780000,名为美食的原野已经打开，一代又一代的天才横空出世新旧料理人的碰撞即将开始，为食物而进行争斗的世界再次降临料理的世界，唯有不断进食，才能变得更强以美食为题材，以游戏为手段，欢迎来到料理世界,http://book.zongheng.com/showchapter/1216871.html
一品小神农,小陌子,http://home.zongheng.com/show/userInfo/53625610.html,http://book.zongheng.com/book/1189128.html,连载中,都市娱乐,"爽文,种田,扮猪吃虎",328000,600000,44000,刚毕业的农科大学生，回到贫困山村，因为一场意外陷害，获得了神树灵珠传承。人生从此一路崛起，不仅能够通过灵珠改善农品的生长和品质，搞出令人追捧的特色弄产业，带领家乡父老走向富裕，还能通过灵珠之力，悬壶济世，救人于危难！更能凭借，一双拳脚，惩恶扬善，护美芳心，成就一品仙农！,http://book.zongheng.com/showchapter/1189128.html
灵气复苏：我靠写小说具现功法,一刀独断,http://home.zongheng.com/show/userInfo/53974207.html,http://book.zongheng.com/book/1221786.html,连载中,奇幻玄幻,"重生,末世,热血,争霸",63340000,0,70000,灵气复苏居然靠写小说就能具现功法，当别人为一部罗汉拳而大打出手的时候，我已经获得了九阳神功。当众人有一部功法的时候，不好意思，我已经获得了全部的七十二绝技。明明靠写小说就能获得功法，为什么还要打生打死呢？王腾对此不太理解！,http://book.zongheng.com/showchapter/1221786.html
最狂战神,小道上山,http://home.zongheng.com/show/userInfo/53694003.html,http://book.zongheng.com/book/1195620.html,连载中,都市娱乐,"爽文,热血,扮猪吃虎,英雄无敌",630000,3980000,113000,一代战神，叶良！五年前，被诬陷弑父，流离失所，却被楚柔救回，两人相爱。五年后，他从疆场归来，却得知妻女受尽凌辱。叶良：我的女人，女儿，谁都不能惹！护家人，驱外敌，马踏江湖，镇国战神，举世无双！,http://book.zongheng.com/showchapter/1195620.html
神川册,天下孤言,http://home.zongheng.com/show/userInfo/51298563.html,http://book.zongheng.com/book/1152120.html,连载中,奇幻玄幻,"权谋,成长,暗黑,争霸",248000,29120000,559000,神川之上有一信仰——神。却不料，神的懿旨不在创造而在毁灭。识破其目的的神言打算将此告知世人以做警醒，却鲜少有人信。他到处游说并躲避着神的追杀，直到其临死前才得以欣慰，世间终归还有人信他说辞。神言自觉完成平生夙愿，死而瞑目。却不知这只是一场早已被人安排好的开场序幕。“夺我疆土、毁我自由者，我终将归来！”——一切，才刚刚开始……『佛系更』,http://book.zongheng.com/showchapter/1152120.html
